taBTS1,taBTS2,taBTS3,taBTS4,taBTS5,taBTS6,pathBTS6,pathBTS2,pathBTS4,pathBTS5,lon,pathBTS3,pathBTS1,pontoId,lat
0,1,3,1,0,1,122.923333333333,134.356666666667,115.59,84.0233333333333,-34.891121,131.39,127.723333333333,1861,-8.068857
0,2,4,2,0,1,142.923333333333,130.356666666667,118.356666666667,105.123333333333,-34.889492,136.323333333333,136.09,2318,-8.066321
0,1,3,1,0,1,125.356666666667,135.89,116.956666666667,101.556666666667,-34.890404,136.456666666667,125.856666666667,2083,-8.068089
0,2,3,2,1,0,104.356666666667,115.023333333333,116.956666666667,124.823333333333,-34.896439,123.456666666667,120.923333333333,2351,-8.06605
0,1,3,1,0,0,100.156666666667,123.023333333333,130.823333333333,120.156666666667,-34.892712,125.923333333333,133.39,2261,-8.066756
2,3,3,3,2,1,129.49,113.69,133.556666666667,128.223333333333,-34.903572,131.89,135.623333333333,2899,-8.06135
0,1,3,1,1,0,106.34,117.09,110.79,129.14,-34.896137,114.04,122.24,2222,-8.066952
0,1,3,1,0,0,102.19,127.79,120.29,112.556666666667,-34.892822,125.156666666667,124.556666666667,2127,-8.067786
1,1,1,1,2,1,125.84,125.09,127.89,131.19,-34.900913,118.89,118.04,1378,-8.07021
1,0,2,0,2,2,139.49,96.5566666666667,109.49,130.223333333333,-34.895576,130.023333333333,117.123333333333,210,-8.076409
0,0,2,0,1,1,127.656666666667,115.323333333333,101.223333333333,111.923333333333,-34.894344,104.723333333333,95.19,925,-8.072535
0,1,3,1,0,1,131.756666666667,136.69,121.623333333333,112.69,-34.889793,124.556666666667,104.79,1394,-8.070131
2,3,3,3,3,2,128.79,126.09,130.44,134.54,-34.905117,131.14,136.44,2915,-8.060806
0,2,4,2,0,1,140.623333333333,122.423333333333,110.223333333333,104.356666666667,-34.889763,132.29,132.156666666667,2270,-8.066692
0,1,3,1,0,0,104.69,121.756666666667,122.156666666667,124.556666666667,-34.894138,125.156666666667,122.656666666667,2178,-8.067166
0,1,3,1,0,0,111.223333333333,123.423333333333,121.623333333333,113.023333333333,-34.893524,128.49,129.823333333333,2330,-8.066232
0,2,4,2,0,1,141.69,123.656666666667,102.89,98.7566666666667,-34.889645,134.39,127.29,2294,-8.066517
1,0,3,0,1,2,146.423333333333,128.556666666667,98.9566666666667,128.59,-34.890739,130.09,118.723333333333,500,-8.074771
2,2,3,2,2,1,126.023333333333,125.956666666667,130.156666666667,126.923333333333,-34.901344,135.223333333333,139.023333333333,2800,-8.062948
0,2,4,2,0,0,127.79,132.29,124.323333333333,114.19,-34.890003,133.79,141.723333333333,2411,-8.06581
0,1,3,1,0,0,107.59,132.823333333333,122.49,124.123333333333,-34.893829,130.256666666667,125.29,2212,-8.066996
1,2,2,2,2,1,113.69,118.79,109.956666666667,112.19,-34.900955,123.023333333333,115.423333333333,2187,-8.067128
1,0,2,0,2,1,132.19,107.756666666667,100.49,121.39,-34.896538,114.956666666667,99.89,744,-8.073205
0,1,3,1,1,1,133.423333333333,124.19,102.223333333333,102.99,-34.89209,131.69,105.723333333333,1114,-8.071486
2,1,1,1,2,2,141.19,112.123333333333,132.023333333333,135.523333333333,-34.899723,124.856666666667,120.59,212,-8.076408
0,2,4,2,0,0,129.056666666667,132.056666666667,129.123333333333,112.89,-34.890354,137.356666666667,134.423333333333,2451,-8.065788
1,0,3,0,1,2,134.09,132.39,114.423333333333,115.056666666667,-34.890217,122.456666666667,97.29,551,-8.074463
0,1,3,1,0,0,110.89,122.49,106.29,108.84,-34.892342,125.29,130.44,2152,-8.067453
0,1,2,1,1,1,117.656666666667,119.956666666667,110.89,128.49,-34.896706,119.023333333333,100.956666666667,1290,-8.070594
1,0,2,0,2,1,136.29,101.856666666667,105.823333333333,132.29,-34.897293,91.49,110.723333333333,703,-8.073478
2,1,1,1,2,2,137.523333333333,115.823333333333,130.156666666667,142.056666666667,-34.900146,123.69,115.99,464,-8.075114
0,1,4,1,0,1,129.523333333333,132.223333333333,116.223333333333,104.656666666667,-34.889534,133.89,122.123333333333,2010,-8.068506
0,1,3,1,0,1,111.323333333333,125.79,116.09,116.29,-34.891293,123.59,114.523333333333,2013,-8.068495
1,0,3,0,1,2,135.923333333333,138.79,116.79,123.156666666667,-34.890194,123.323333333333,104.623333333333,558,-8.074413
1,2,4,2,0,1,133.815,132.865,125.14,122.04,-34.887104,126.365,118.34,2487,-8.065565
0,2,3,2,1,0,113.223333333333,97.69,133.256666666667,123.756666666667,-34.894543,124.456666666667,131.556666666667,2649,-8.064088
1,0,2,0,2,2,137.223333333333,89.8566666666667,120.69,124.023333333333,-34.897064,129.39,114.456666666667,143,-8.076777
2,1,1,1,2,2,142.956666666667,112.823333333333,133.756666666667,135.623333333333,-34.899704,123.223333333333,121.823333333333,178,-8.076507
0,0,3,0,1,1,129.69,114.79,93.19,104.523333333333,-34.892086,123.023333333333,112.156666666667,1023,-8.07218
0,1,3,1,0,1,128.623333333333,130.89,116.89,92.29,-34.890709,136.49,126.623333333333,2057,-8.068281
1,1,1,1,2,2,135.956666666667,120.623333333333,128.056666666667,144.09,-34.900513,126.456666666667,121.556666666667,684,-8.073664
1,0,1,0,2,2,132.39,102.24,105.99,130.84,-34.898407,93.69,116.34,664,-8.073777
2,0,1,0,3,2,143.056666666667,116.356666666667,135.556666666667,134.323333333333,-34.899338,122.656666666667,127.423333333333,23,-8.0775
1,0,2,0,1,1,105.023333333333,110.89,90.1566666666667,112.29,-34.893867,108.356666666667,89.0566666666667,648,-8.073894
1,0,2,0,2,2,141.34,113.615,105.99,127.715,-34.89502,130.265,112.49,266,-8.076185
0,1,2,1,1,1,110.365,127.1025,112.14,112.1275,-34.89484,119.6775,101.49,1577,-8.069616
1,0,2,0,1,1,128.79,99.14,90.74,125.94,-34.896671,121.89,104.24,1009,-8.072272
1,1,1,1,2,1,127.256666666667,130.99,125.09,132.056666666667,-34.900837,113.39,127.456666666667,1456,-8.069949
0,1,3,1,1,1,114.223333333333,128.656666666667,108.623333333333,106.823333333333,-34.892464,128.556666666667,103.29,1236,-8.070749
2,0,1,0,2,2,134.04,92.815,122.64,130.215,-34.898151,128.84,120.765,95,-8.077133
1,0,2,0,1,1,126.823333333333,99.4233333333333,92.99,120.523333333333,-34.896503,121.29,99.39,878,-8.072637
0,0,3,0,1,1,133.565,119.415,102.49,109.24,-34.89201,129.565,98.115,1067,-8.071883
0,1,2,1,1,0,122.34,121.84,103.49,108.39,-34.895992,120.24,103.44,1822,-8.068971
0,1,2,1,1,0,113.44,118.99,112.24,107.44,-34.895496,111.24,104.39,1718,-8.069265
1,0,3,0,1,2,135.223333333333,131.923333333333,115.69,103.99,-34.890488,126.59,96.59,693,-8.073597
0,1,3,1,1,0,89.8566666666667,98.6566666666667,109.156666666667,125.49,-34.896774,123.49,126.623333333333,2298,-8.066499
0,1,2,1,1,0,107.023333333333,117.823333333333,110.156666666667,122.59,-34.896378,115.09,108.69,1951,-8.068633
1,0,2,0,1,1,132.59,113.69,115.74,119.09,-34.896305,95.74,92.79,756,-8.073167
0,2,4,2,0,0,131.59,134.623333333333,134.856666666667,102.956666666667,-34.890068,139.723333333333,134.556666666667,2414,-8.065807
1,0,2,0,2,2,136.19,118.09,121.856666666667,126.756666666667,-34.89624,127.09,115.556666666667,368,-8.075617
1,2,5,2,0,1,144.59,138.89,129.29,140.523333333333,-34.886078,140.59,122.756666666667,2707,-8.063761
0,1,2,1,1,0,113.323333333333,124.69,104.89,108.823333333333,-34.895569,116.523333333333,108.49,1738,-8.069224
0,1,3,1,0,1,115.556666666667,138.49,118.123333333333,107.09,-34.890526,123.09,119.523333333333,1533,-8.069738
2,2,2,2,2,1,130.323333333333,129.356666666667,125.223333333333,135.456666666667,-34.901428,132.89,138.423333333333,2757,-8.063486
0,2,4,2,0,0,124.04,130.415,131.84,99.615,-34.890148,134.265,135.365,2436,-8.065794
0,1,3,1,1,0,100.756666666667,121.456666666667,117.09,122.823333333333,-34.895786,118.556666666667,121.123333333333,2227,-8.066927
1,0,3,0,1,2,134.28435483871,138.319032258065,115.610161290323,113.932741935484,-34.890209,120.862580645161,103.069032258065,548,-8.074482
2,1,1,1,2,2,138.656666666667,109.39,132.056666666667,135.29,-34.899815,116.456666666667,118.09,283,-8.0761
0,2,3,2,0,0,114.89,133.59,130.023333333333,101.756666666667,-34.892208,133.19,138.99,2382,-8.065833
1,1,1,1,2,1,124.256666666667,123.623333333333,117.29,135.19,-34.900791,118.99,119.356666666667,1122,-8.071407
1,0,2,0,2,1,127.54,113.04,104.29,119.44,-34.896381,91.94,93.59,739,-8.073216
0,2,4,2,0,1,136.89,124.323333333333,129.056666666667,118.056666666667,-34.889519,133.256666666667,138.756666666667,2503,-8.065443
0,2,3,2,0,0,119.59,118.856666666667,132.29,121.656666666667,-34.894238,130.19,133.89,2594,-8.064677
0,1,3,1,0,1,118.656666666667,134.556666666667,114.223333333333,108.09,-34.890915,124.756666666667,108.49,1615,-8.069531
0,1,3,1,1,0,99.0233333333333,118.056666666667,118.823333333333,117.09,-34.895439,120.756666666667,112.456666666667,2300,-8.066477
0,1,3,1,0,1,132.79,139.29,124.49,107.69,-34.891209,127.815,103.465,1671,-8.069385
0,1,2,1,1,0,117.519230769231,116.503846153846,98.0315384615385,113.676153846154,-34.895401,116.797692307692,109.013076923077,1678,-8.069362
1,0,2,0,2,1,130.19,100.723333333333,107.823333333333,128.356666666667,-34.898216,93.6566666666667,118.923333333333,675,-8.073735
0,2,3,2,0,0,109.156666666667,121.29,125.99,119.956666666667,-34.893585,125.523333333333,126.856666666667,2364,-8.065945
1,0,2,0,2,1,128.015,96.965,90.115,120.315,-34.896614,121.34,90.215,790,-8.072986
0,1,3,1,1,1,104.69,120.923333333333,109.323333333333,112.823333333333,-34.892948,122.99,107.323333333333,1273,-8.07065
0,1,3,1,1,0,96.39,116.223333333333,120.59,126.59,-34.895226,124.89,111.156666666667,2288,-8.066579
0,1,2,1,1,1,111.165,121.015,113.765,106.94,-34.894775,121.465,99.515,1570,-8.069642
0,0,3,0,1,1,130.99,129.156666666667,108.123333333333,92.8566666666667,-34.892166,128.79,110.323333333333,1078,-8.071801
1,2,3,2,1,0,117.223333333333,101.956666666667,135.956666666667,123.19,-34.894779,126.69,133.556666666667,2721,-8.063667
1,0,2,0,1,1,127.99,122.04,107.34,117.54,-34.895874,117.94,103.14,818,-8.072897
1,2,5,2,0,1,134.59,135.315,123.39,126.915,-34.885303,133.865,123.09,2566,-8.064956
0,2,3,2,1,0,117.623333333333,115.556666666667,133.156666666667,126.356666666667,-34.894581,122.756666666667,137.123333333333,2656,-8.064023
1,2,2,2,2,1,112.823333333333,117.623333333333,112.69,125.59,-34.901146,124.79,122.923333333333,2316,-8.066339
0,1,3,1,1,1,106.89,122.09,104.223333333333,105.69,-34.893242,122.623333333333,101.356666666667,1331,-8.070443
0,1,3,1,1,1,106.99,122.923333333333,104.523333333333,112.956666666667,-34.893097,125.156666666667,111.59,1307,-8.070532
1,0,2,0,2,1,130.99,96.24,102.99,132.09,-34.897976,89.24,113.99,685,-8.073663
1,0,2,0,1,1,123.156666666667,116.556666666667,106.19,122.19,-34.895863,122.323333333333,99.99,813,-8.072907
1,1,1,1,2,2,137.59,113.69,127.19,138.84,-34.900322,111.24,124.39,570,-8.07433
0,2,3,2,0,0,108.756666666667,134.69,135.59,106.39,-34.891384,134.623333333333,139.656666666667,2391,-8.065825
0,0,3,0,1,1,115.665,119.34,104.415,111.465,-34.892845,114.965,96.54,959,-8.072463
0,1,4,1,0,1,137.79,134.19,123.69,111.59,-34.889378,132.19,121.94,1972,-8.068586
1,0,2,0,2,1,129.923333333333,98.59,100.123333333333,132.056666666667,-34.898109,92.8233333333333,115.356666666667,681,-8.073705
2,0,2,0,2,2,129.54,81.09,117.19,126.19,-34.897816,128.79,118.29,100,-8.077094
1,0,2,0,2,1,137.123333333333,107.856666666667,104.923333333333,125.423333333333,-34.896797,95.49,110.69,715,-8.073355
0,1,2,1,1,1,101.79,114.056666666667,113.656666666667,123.656666666667,-34.89727,119.256666666667,93.49,1362,-8.070318
1,1,1,1,2,1,118.79,124.14,123.94,131.54,-34.900837,118.74,127.09,1470,-8.069917
1,0,2,0,1,1,128.09,126.265,107.19,121.765,-34.89584,122.74,104.715,809,-8.07292
0,0,3,0,1,1,126.356666666667,121.256666666667,99.39,110.39,-34.893284,109.756666666667,98.5566666666667,970,-8.07243
0,1,2,1,1,0,116.39,115.956666666667,105.256666666667,119.89,-34.895737,117.056666666667,105.723333333333,1777,-8.069118
0,2,3,2,0,0,118.756666666667,121.656666666667,125.39,122.256666666667,-34.892952,130.89,133.256666666667,2527,-8.065246
1,0,2,0,1,1,128.89,102.69,99.3233333333333,117.856666666667,-34.896343,119.756666666667,98.8566666666667,767,-8.073116
2,0,2,0,2,2,138.59,81.69,118.29,130.34,-34.89761,131.14,120.34,109,-8.077028
1,1,2,1,2,1,121.356666666667,126.923333333333,122.29,131.056666666667,-34.90065,118.856666666667,119.323333333333,1651,-8.06944
1,0,3,0,1,1,136.056666666667,129.39,109.39,114.256666666667,-34.890671,127.856666666667,107.256666666667,783,-8.073025
1,2,3,2,1,0,115.856666666667,97.9233333333333,98.79,127.756666666667,-34.897285,116.723333333333,131.59,2791,-8.063063
1,0,2,0,2,2,140.456666666667,106.556666666667,122.69,128.59,-34.895988,131.923333333333,122.09,214,-8.076403
1,0,3,0,1,1,138.19,126.423333333333,114.123333333333,104.89,-34.890682,123.79,97.09,803,-8.072932
1,0,2,0,1,2,126.89,112.29,89.24,116.49,-34.893642,114.94,105.59,515,-8.07465
1,2,5,2,0,1,146.556666666667,133.79,132.99,138.823333333333,-34.885963,137.19,131.923333333333,2686,-8.06389
0,2,4,2,0,1,133.49,133.69,131.556666666667,127.656666666667,-34.889542,132.623333333333,137.09,2573,-8.06489
1,2,4,2,0,1,128.323333333333,133.923333333333,124.023333333333,118.556666666667,-34.886803,133.823333333333,125.423333333333,2499,-8.065466
2,1,1,1,2,2,139.59,118.656666666667,129.523333333333,139.156666666667,-34.900124,124.156666666667,117.856666666667,457,-8.075178
1,0,2,0,2,1,139.156666666667,112.723333333333,114.756666666667,126.223333333333,-34.896893,96.29,114.623333333333,712,-8.07338
0,1,4,1,0,1,127.79,136.023333333333,125.59,110.023333333333,-34.889225,132.556666666667,127.69,1932,-8.068669
0,1,3,1,1,0,93.9233333333333,119.156666666667,123.156666666667,123.89,-34.895149,122.723333333333,110.056666666667,2283,-8.066616
0,2,4,2,0,0,121.556666666667,137.89,132.39,119.156666666667,-34.890656,137.223333333333,136.223333333333,2412,-8.065809
0,0,2,0,1,1,117.923333333333,116.423333333333,99.8233333333333,125.423333333333,-34.895706,116.523333333333,108.423333333333,1163,-8.071126
1,2,3,2,1,0,104.023333333333,100.29,106.023333333333,124.723333333333,-34.897053,119.423333333333,129.823333333333,2605,-8.064523
0,1,3,1,0,1,133.89,130.59,113.556666666667,102.69,-34.889549,134.856666666667,125.423333333333,1741,-8.06922
0,1,3,1,0,1,140.49,122.623333333333,110.323333333333,111.623333333333,-34.889473,132.19,127.723333333333,1455,-8.069952
1,0,2,0,1,1,117.49,106.823333333333,99.8566666666667,117.523333333333,-34.89642,116.823333333333,99.99,991,-8.072363
0,1,3,1,1,1,117.59,125.123333333333,110.023333333333,109.923333333333,-34.892395,124.256666666667,104.323333333333,1220,-8.070801
1,0,3,0,1,2,138.256666666667,136.123333333333,106.756666666667,120.59,-34.890202,122.323333333333,96.39,539,-8.074515
0,1,2,1,1,1,122.19,118.823333333333,109.756666666667,129.856666666667,-34.896893,120.056666666667,99.5233333333333,1184,-8.071
0,1,2,1,1,1,121.64,110.89,98.69,126.34,-34.896381,115.19,93.94,1334,-8.070433
1,2,2,2,2,1,124.356666666667,125.19,114.923333333333,133.056666666667,-34.90139,124.156666666667,129.856666666667,2556,-8.065001
0,1,3,1,0,1,119.823333333333,135.123333333333,114.39,106.823333333333,-34.890732,117.823333333333,106.59,1596,-8.069586
0,1,2,1,1,1,107.556666666667,125.89,119.556666666667,113.256666666667,-34.894749,119.856666666667,109.056666666667,1546,-8.069701
0,1,4,1,0,1,125.423333333333,128.39,128.656666666667,104.523333333333,-34.888664,128.39,117.556666666667,1836,-8.068926
0,2,3,2,0,0,114.29,129.24,135.34,106.14,-34.892071,134.14,141.34,2378,-8.065841
1,0,2,0,2,2,138.723333333333,108.256666666667,115.623333333333,124.69,-34.896526,131.323333333333,112.69,162,-8.076615
0,1,3,1,1,1,119.323333333333,123.356666666667,109.123333333333,104.49,-34.89249,121.923333333333,104.556666666667,1216,-8.070807
0,2,3,2,0,0,121.69,122.04,132.79,129.59,-34.893833,129.19,136.84,2672,-8.06395
1,2,3,2,1,0,113.84,105.49,121.94,124.39,-34.896912,130.79,133.29,2717,-8.063701
0,0,3,0,1,1,133.456666666667,116.823333333333,93.99,111.123333333333,-34.892014,123.823333333333,105.356666666667,1068,-8.07188
2,1,1,1,2,2,142.356666666667,109.123333333333,135.623333333333,136.79,-34.899551,121.99,123.956666666667,127,-8.076911
1,0,2,0,2,2,138.39,110.256666666667,104.256666666667,124.256666666667,-34.894352,121.756666666667,117.29,315,-8.075927
0,0,3,0,1,1,125.156666666667,121.89,98.6566666666667,97.59,-34.892323,129.156666666667,115.19,1007,-8.072276
1,0,2,0,2,2,132.123333333333,96.2566666666667,103.823333333333,129.423333333333,-34.895134,125.923333333333,115.523333333333,260,-8.076221
0,2,4,2,0,0,128.723333333333,129.023333333333,127.723333333333,113.756666666667,-34.890324,139.89,133.656666666667,2447,-8.06579
1,0,2,0,2,1,133.69,99.8566666666667,101.123333333333,130.223333333333,-34.898045,89.1233333333333,110.656666666667,682,-8.073685
1,0,1,0,2,2,126.54,96.94,113.04,132.84,-34.898453,95.14,115.19,662,-8.073786
1,1,1,1,2,2,136.623333333333,112.723333333333,129.623333333333,137.323333333333,-34.90028,110.49,117.923333333333,535,-8.074525
1,0,2,0,1,1,135.956666666667,92.3566666666667,88.39,126.29,-34.896694,124.19,103.123333333333,867,-8.072678
1,0,3,0,1,2,138.523333333333,125.69,100.756666666667,126.89,-34.891869,129.023333333333,117.59,463,-8.07513
0,2,3,2,1,0,99.4233333333333,106.556666666667,102.123333333333,126.523333333333,-34.896942,118.856666666667,119.523333333333,2366,-8.065907
0,2,3,2,0,0,112.123333333333,121.423333333333,130.29,117.29,-34.893894,125.723333333333,133.223333333333,2523,-8.065293
0,1,2,1,1,1,112.523333333333,120.156666666667,110.79,126.89,-34.896091,117.623333333333,109.556666666667,1428,-8.070016
0,1,3,1,1,1,100.14,120.19,105.64,119.89,-34.893353,120.39,100.59,1348,-8.070387
0,1,2,1,1,0,114.656666666667,117.39,98.5566666666667,115.523333333333,-34.895382,117.356666666667,103.523333333333,1674,-8.06937
0,0,3,0,1,1,128.756666666667,125.256666666667,98.1233333333333,93.5233333333333,-34.892288,127.356666666667,108.723333333333,1011,-8.072261
2,0,1,0,3,2,132.923333333333,88.7233333333333,124.256666666667,135.29,-34.899223,119.223333333333,122.756666666667,3,-8.077567
1,1,1,1,2,2,132.556666666667,105.523333333333,122.923333333333,139.956666666667,-34.900295,113.59,116.256666666667,547,-8.074483
0,1,2,1,NA,0,98.89,103.34,91.84,119.09,-34.89666,105.59,109.89,2088,-8.068053
1,1,2,1,1,1,108.823333333333,106.856666666667,99.8233333333333,127.023333333333,-34.898624,115.69,112.723333333333,1966,-8.068594
0,1,2,1,1,1,117.356666666667,100.956666666667,91.99,125.99,-34.89632,114.69,113.523333333333,1501,-8.069832
2,1,1,1,2,2,141.99,116.99,134.89,135.74,-34.899731,128.84,127.34,211,-8.076408
1,1,2,1,2,1,105.44,114.64,116.04,117.84,-34.899952,117.39,98.74,1821,-8.068973
1,0,3,0,2,2,134.823333333333,124.69,106.556666666667,122.156666666667,-34.892929,120.29,112.856666666667,414,-8.075447
0,1,2,1,1,0,108.456666666667,107.256666666667,91.3566666666667,122.423333333333,-34.896717,107.423333333333,114.19,2139,-8.067629
2,0,1,0,2,2,133.923333333333,79.59,120.156666666667,121.656666666667,-34.898849,124.723333333333,118.79,41,-8.077416
0,1,2,1,1,0,112.79,119.49,97.69,116.09,-34.895584,118.44,105.04,1735,-8.069232
0,2,3,2,1,0,96.4233333333333,106.19,100.923333333333,128.623333333333,-34.896919,119.323333333333,116.79,2348,-8.066076
0,0,3,0,1,1,128.89,117.123333333333,101.29,115.39,-34.891991,123.89,102.89,1081,-8.071783
0,1,4,1,0,1,129.923333333333,132.923333333333,125.523333333333,112.123333333333,-34.888081,133.923333333333,128.29,1704,-8.069288
1,0,3,0,2,2,130.223333333333,123.69,114.156666666667,121.256666666667,-34.892956,123.256666666667,121.99,404,-8.075461
0,1,3,1,1,1,116.523333333333,126.056666666667,107.023333333333,99.5566666666667,-34.892181,121.823333333333,103.323333333333,1223,-8.070798
2,0,1,0,2,2,132.69,76.4233333333333,117.59,128.123333333333,-34.898857,123.156666666667,118.39,33,-8.077456
1,1,2,1,1,1,112.99,122.356666666667,112.723333333333,124.59,-34.897091,123.723333333333,105.223333333333,1110,-8.071507
2,1,1,1,2,2,137.04,112.04,129.24,139.04,-34.899933,120.04,123.54,346,-8.075755
0,1,4,1,0,1,130.823333333333,134.29,118.656666666667,107.756666666667,-34.889366,132.723333333333,125.39,1973,-8.068585
1,0,2,0,1,1,109.54,111.84,94.99,109.54,-34.893894,109.94,91.09,665,-8.073777
1,0,2,0,2,2,141.423333333333,91.4566666666667,117.123333333333,127.556666666667,-34.896267,132.356666666667,114.69,174,-8.07653
0,0,2,0,1,1,118.14,111.39,91.09,122.99,-34.895626,117.64,112.79,1150,-8.071216
1,0,2,0,1,1,NA,121.09,104.54,119.19,-34.896294,121.69,106.09,922,-8.07254
0,1,3,1,0,0,92.9566666666667,119.823333333333,124.29,120.556666666667,-34.894207,124.59,123.89,2189,-8.067123
0,2,4,2,0,0,130.456666666667,130.723333333333,127.99,116.19,-34.890495,130.423333333333,139.79,2449,-8.065789
3,4,3,4,3,2,131.323333333333,133.59,129.956666666667,137.523333333333,-34.906448,130.123333333333,137.39,2943,-8.059631
1,1,1,1,2,2,133.69,117.24,126.14,137.14,-34.900276,104.94,119.24,531,-8.074538
0,1,3,1,0,0,92.7233333333333,125.523333333333,125.09,117.523333333333,-34.892925,122.623333333333,118.256666666667,2131,-8.067739
0,1,3,1,1,1,134.19,114.49,95.69,97.79,-34.891781,124.29,101.34,1195,-8.070925
0,1,4,1,0,1,131.956666666667,135.923333333333,114.823333333333,109.49,-34.889545,134.656666666667,119.656666666667,2004,-8.068528
0,1,2,1,1,1,102.19,111.19,109.79,126.89,-34.89735,117.19,118.39,1908,-8.068729
0,1,4,1,22.6002843699493,1,126.49,130.29,125.29,112.656666666667,-34.88818,130.756666666667,129.19,1757,-8.069173
1,0,3,0,1,2,145.123333333333,125.056666666667,98.49,129.123333333333,-34.890869,130.623333333333,124.39,495,-8.07481
1,0,2,0,1,1,134.156666666667,110.823333333333,110.156666666667,127.323333333333,-34.89629,114.056666666667,100.323333333333,765,-8.073125
1,0,2,0,1,1,126.356666666667,120.656666666667,101.123333333333,117.89,-34.895153,101.056666666667,104.223333333333,848,-8.072757
1,0,2,0,1,1,127.256666666667,111.256666666667,101.523333333333,123.356666666667,-34.896423,120.323333333333,106.623333333333,875,-8.072645
0,1,2,1,1,1,118.523333333333,119.223333333333,108.756666666667,120.89,-34.896996,122.623333333333,92.3233333333333,1313,-8.070502
0,1,4,1,0,1,120.49,131.24,126.04,106.44,-34.888237,129.565,117.665,1773,-8.069138
2,0,1,0,3,2,135.99,84.5233333333333,125.856666666667,133.09,-34.899231,120.523333333333,122.923333333333,9,-8.077541
0,0,2,0,1,1,121.04,108.94,85.79,109.84,-34.894436,109.79,89.79,891,-8.072604
0,1,3,1,0,0,112.356666666667,128.19,121.456666666667,119.59,-34.891582,124.256666666667,103.523333333333,2042,-8.068375
2,0,1,0,3,2,136.79,83.39,122.04,131.99,-34.899223,115.04,123.04,11,-8.07754
1,2,5,2,0,1,137.723333333333,131.923333333333,129.39,138.223333333333,-34.885818,135.19,123.556666666667,2664,-8.063996
0,1,2,1,1,1,117.09,112.99,103.74,126.29,-34.896862,117.59,98.44,1283,-8.070611
1,0,2,0,2,2,138.723333333333,111.89,108.456666666667,126.923333333333,-34.894352,124.356666666667,116.19,310,-8.075953
2,0,1,0,3,2,132.856666666667,81.59,120.99,128.223333333333,-34.898972,119.79,121.29,26,-8.077491
0,0,2,0,1,1,120.923333333333,107.123333333333,89.7233333333333,105.756666666667,-34.894859,108.59,86.79,1035,-8.07211
0,1,2,1,1,1,103.69,110.09,101.59,124.19,-34.897381,114.515,104.565,1682,-8.069353
1,1,1,1,2,2,130.54,114.29,126.79,142.34,-34.900501,112.59,118.69,677,-8.073727
0,1,2,1,1,0,95.3233333333333,104.156666666667,90.69,118.09,-34.896564,105.69,107.423333333333,1886,-8.068812
2,0,1,0,3,2,145.356666666667,111.356666666667,136.356666666667,133.056666666667,-34.89938,126.99,128.49,50,-8.077371
1,0,2,0,2,2,140.523333333333,113.456666666667,128.123333333333,130.623333333333,-34.895985,136.623333333333,127.823333333333,234,-8.07634
1,0,3,0,1,2,454.12483381855,122.59,98.24,123.39,-34.891346,128.69,118.54,480,-8.074964
